StoreID,StoreName,Label
a03t,盧烤肉,服務
a0bc,小義大利莊園 (彰化員林店),環境
a0br,小川脆皮雞蛋糕-黑糖飲品,美味
a0c8,快樂鳥網路電競館 (彰化師大店),環境
a0dd,食儻生活料理坊,環境
a0dx,豪哥豆花,環境
a0eg,劉記蚵仔煎,服務
a0mp,春日蔬食(素),環境
a0mu,大老闆手作披薩,美味
a0ry,員林肉羹米糕,美味
a0sw,博多拉麵 (彰化員林店),環境
a0ud,宋氏手工舖(創始店),環境
a0uk,Mr.RAMEN豚骨拉麵店 (嘉義店),環境
a0zo,三王藥燉支骨,美味
a13w,珍味水煎包,環境
a1as,阿香小吃 (西大店),服務
a1by,微笑炸雞,服務
a1di,茶穀鐘 (彰化大埔店),美味
a1ft,原北大魷魚糠,美味
a1hv,天利食堂 (彰化中正店),環境
a1iy,野島家咖哩屋 (彰化員林店),環境
a1jq,熊賀茶莊 (嘉義國華店),環境
a1jx,紅燈籠食堂,環境
a1mw,上榮新疆烤肉串 (嘉義民生南店),服務
a1ow,六扇門 (新竹清大店),環境
a1pk,奶爸乳飲．鬆餅專賣店,美味
a1s5,三顧茅廬 (新竹民生店),環境
a1se,貳牛炙燒牛排,環境
a1st,陽光麵線 (彰化員林總店),服務
a1tn,滷匠獨創滷味 (嘉義文化店),美味
a1wa,初素 素食炸物 (嘉義北興店),環境
a1x0,阿宏綠豆沙 (員林中正店),美味
a1yj,舞桔早午餐,環境
a1zm,日出拉麵 (彰化員林店),環境
a2ai,盧廣烤肉 (嘉義文化總店),服務
a2gl,醇滷味 (新竹延平店),服務
a2jk,大食館異國石鍋料理專賣店,環境
a2jp,菓點子 (新竹西大店),環境
a2nd,大盛居 日韓食堂,環境
a2nl,50嵐 (新竹民生店),服務
a2oq,吃早餐 (彰化民生店),美味
a2ra,憶湘埕愛玉店,美味
a2vf,牛小排,環境
a2vw,青秀香菇肉粥 (彰化曉陽店),服務
a2wp,茶聚 (彰化永安店),服務
a2yt,蒸之元排骨酥麵,美味
a2zg,大胖鵝肉,服務
a2zw,紅茶洋行 (嘉市吳鳳北店),美味
a3al,紅麥田炸雞 (嘉義店),美味
a3be,五叔公養生滷味,美味
a3co,初八麵食堂,環境
a3dz,山仔頂甕仔雞,環境
a3fi,阿德現炒,美味
a3jh,古家鹹酥雞,美味
a3jm,橘醬蛋餅,美味
a3mo,韓國館,環境
a3nc,蔗一條豬,美味
a3ni,吃貨小屋-炸饅頭,美味
a3nq,活力精緻早餐店,美味
a3nt,盛食咖哩,環境
a3ny,洪家臭豆腐,美味
a3qo,億大利複合式餐廳,服務
a3v3,台北魷魚焿,服務
a3wg,皇品印度料理,環境
a3xt,晨間廚房 (嘉義文雅店),服務
a3yd,小草然早點 (嘉義軍輝店),服務
a3yj,廣一素食餐廳,環境
a3ze,就是我包子大王,美味
a47x,世賢烤鴨,服務
a4ac,千代子鍋燒專賣店,美味
a4db,(粘)香鬆紅豆餅,美味
a4dp,柳記鹹酥雞,服務
a4dr,看看早午餐,環境
a4ei,Fun Tower. 日式可麗餅,環境
a4ga,HaRu日式手作燒餃子屋,環境
a4gv,圓石禪飲 (嘉義中山店),服務
a4is,正阪橋茶水坊 (彰化南郭店),服務
a4jj,次郎日本料理,服務
a4kc,茶穀鐘蛋餅,美味
a4kh,茶湯會 (彰化彰商店),服務
a4kw,許寶香菇肉羹,美味
a4kz,洪鹹酥雞,環境
a4lk,石頭鄉烤玉米,服務
a4pd,瀧野拉麵、丼飯,環境
a4ps,福星藥頭排骨快炒,服務
a4qe,炸一手鹽酥雞,美味
a4rc,米內瓦之家,環境
a4te,橘町搖搖 (嘉義保安店),服務
a4vt,鹽燒大王,美味
a4wz,乙奉茶堂,美味
a4xa,員味燉品屋,美味
a4xi,親咕韓式餐館,環境
a4xz,鑫皇牛排,美味
a5ap,郭家火雞肉飯 (嘉義仁愛店),環境
a5dp,半畝田北方麵食館,服務
a5ee,傳承古早味油飯,美味
a5ep,螺絲咖啡。茶飲,美味
a5er,彰安豬肉餡餅,服務
a5ew,獅子&貓耳朵,美味
a5fm,洪記食堂,服務
a5fn,品京棧,服務
a5fw,盧媽媽中式早餐,美味
a5jz,小松丼丼 (大埔店),環境
a5kv,大呼過癮 (新竹香山店),服務
a5le,湯虎。食初 (國華店),環境
